"","external_gene_name","chromosome_name","transcript_biotype"
"718","Cfl1","19","protein_coding"
"719","Yeats4","10","protein_coding"
"720","Trex2","X","protein_coding"
"721","Cfap90","13","protein_coding"
"722","Snx32","19","protein_coding"
"723","Taf9b","X","protein_coding"
"724","Abt1","13","protein_coding"
"725","Edc4","8","protein_coding"
"726","Polr3b","10","protein_coding"
"727","Btn1a1","13","protein_coding"
"728","Setdb2","14","protein_coding"
"729","Cyp2d9","15","protein_coding"
"730","Adcy2","13","protein_coding"
"731","Pfkfb1","X","protein_coding"
"732","Nscme3l","19","protein_coding"
"733","Ovol1","19","protein_coding"
"734","9530003J23Rik","10","protein_coding"
"735","Ap5b1","19","protein_coding"
"736","Rnaseh2c","19","protein_coding"
"737","Lyz2","10","protein_coding"
"738","Slitrk3","3","protein_coding"
"739","Lyz1","10","protein_coding"
"740","Ranbp9","13","protein_coding"
"741","Bche","3","protein_coding"
"742","Lama2","10","protein_coding"
"743","Ppp2r3c","12","protein_coding"
"744","Pik3c3","18","protein_coding"
"745","Tatdn1","15","protein_coding"
"746","Zbbx","3","protein_coding"
"747","Rps6kl1","12","protein_coding"
"748","Smarca2","19","protein_coding"
