"","external_gene_name","chromosome_name","transcript_biotype"
"753","dcs-1","V","protein_coding"
"754","ddp-1","III","protein_coding"
"755","deb-1","IV","protein_coding"
"756","deg-1","X","protein_coding"
"757","deg-3","V","protein_coding"
"758","del-1","X","protein_coding"
"759","del-2","IV","protein_coding"
"760","des-2","V","protein_coding"
"761","dgk-1","X","protein_coding"
"762","dgk-2","X","protein_coding"
"763","dgk-3","III","protein_coding"
"764","dgn-1","X","protein_coding"
"765","dhc-1","I","protein_coding"
"766","dhp-1","I","protein_coding"
"767","dhp-2","IV","protein_coding"
"768","dhs-1","I","protein_coding"
"769","dhs-2","I","protein_coding"
"770","dhs-3","I","protein_coding"
"771","dhs-4","I","protein_coding"
"772","dhs-5","II","protein_coding"
"773","dhs-6","II","protein_coding"
"774","dhs-7","II","protein_coding"
"775","dhs-8","II","protein_coding"
"776","dhs-9","III","protein_coding"
"777","dhs-11","III","protein_coding"
"778","dhs-12","IV","protein_coding"
"779","dhs-13","V","protein_coding"
"780","dhs-14","V","protein_coding"
"781","dhs-15","V","protein_coding"
"782","dhs-16","V","protein_coding"
"783","dhs-17","V","protein_coding"
"784","dhs-18","V","protein_coding"
"785","dhs-19","V","protein_coding"
"786","dhs-20","V","protein_coding"
"787","dhs-21","V","protein_coding"
"788","dhs-22","V","protein_coding"
"789","dhs-23","V","protein_coding"
"790","dhs-24","V","protein_coding"
"791","dhs-25","X","protein_coding"
"792","dhs-26","X","protein_coding"
"793","dhs-27","X","protein_coding"
"794","dhs-28","X","protein_coding"
"795","dhs-29","X","protein_coding"
"796","dhs-30","X","protein_coding"
"797","ints-6","IV","protein_coding"
"798","die-1","II","protein_coding"
"799","dif-1","IV","protein_coding"
"800","dig-1","III","protein_coding"
"801","dim-1","X","protein_coding"
